Feature,Importance
Tenure Months,0.06836996807155557
Internet Service_Fiber optic,0.0518641405742545
Dependents_Yes,0.04043108062985425
Contract_Two year,0.03835542040171192
Payment Method_Electronic check,0.033392381395931564
Total Charges,0.03273307084667906
Contract_One year,0.02122815245381656
Monthly Charges,0.0198353236242522
Online Security_Yes,0.01834318746163145
Tech Support_Yes,0.014602493050968762
Paperless Billing_Yes,0.014543890829195272
Multiple Lines_Yes,0.011205016081300534
Streaming TV_Yes,0.009158715528132702
Online Backup_Yes,0.008961405701088363
Streaming Movies_Yes,0.008021274504783444
Online Security_No internet service,0.007919193067218186
Tech Support_No internet service,0.007856441785402069
Streaming Movies_No internet service,0.007586715999467509
Internet Service_No,0.007445988585377972
Streaming TV_No internet service,0.007340643919521618
Device Protection_No internet service,0.007332965868932375
Partner_Yes,0.006969475769278267
Gender_Male,0.006634139925722472
Senior Citizen_Yes,0.006049059847829771
Online Backup_No internet service,0.00544143507860534
Device Protection_Yes,0.0042266018834041675
Payment Method_Credit card (automatic),0.0037548068117214143
Payment Method_Mailed check,0.0036548017796032514
Multiple Lines_No phone service,0.001869683926722883
Phone Service_Yes,0.0016635840373255136
