Retention_Recommendation,Customer_Count,Avg_Churn_Probability,Avg_Monthly_Charges,Revenue_Saved
5% Discount Offer,140,0.6990714285714286,95.77357142857143,160899.6
Free Online Security,135,0.9003703703703704,57.71555555555556,93499.2
Free Premium Support,27,0.9146296296296297,64.76481481481481,20983.8
Loyalty Reward Program,43,0.7066279069767442,58.93488372093023,30410.4
Offer 15% Discount,770,0.930603896103896,93.88584415584417,867505.2
Personal Retention Call,5,0.891,72.64,4358.4
Promote Long-Term Contract,6,0.9041666666666667,64.50833333333334,4644.6
Security Upgrade Offer,159,0.6985220125786163,49.871383647798744,95154.6
Standard Customer Engagement,3143,0.046616290168628706,58.61377664651607,2210677.2
VIP Customer Benefits,2030,0.03642364532019704,65.11155172413794,1586117.4
Welcome Retention Package,585,0.9295897435897434,56.85880341880342,399148.8
